
(base) C:\Users\User>conda activate myenv

(myenv) C:\Users\User>python game-model-showdown.py
`low_cpu_mem_usage` was None, now default to True since model is quantized.
Original TinyLlama 0001. Challenger LLM 0029. Games Played 0032. Challenger started.
Original TinyLlama 0001. Challenger LLM 0030. Games Played 0033. Original started.
Original TinyLlama 0002. Challenger LLM 0030. Games Played 0034. Challenger started.
Original TinyLlama 0002. Challenger LLM 0031. Games Played 0035. Original started.
Original TinyLlama 0002. Challenger LLM 0032. Games Played 0036. Challenger started.
Original TinyLlama 0002. Challenger LLM 0033. Games Played 0037. Original started.
Original TinyLlama 0002. Challenger LLM 0034. Games Played 0038. Challenger started.
Original TinyLlama 0002. Challenger LLM 0035. Games Played 0039. Original started.
Original TinyLlama 0002. Challenger LLM 0036. Games Played 0040. Challenger started.
Original TinyLlama 0003. Challenger LLM 0036. Games Played 0041. Original started.
Original TinyLlama 0003. Challenger LLM 0037. Games Played 0042. Challenger started.
Original TinyLlama 0003. Challenger LLM 0038. Games Played 0043. Original started.
Original TinyLlama 0003. Challenger LLM 0039. Games Played 0044. Challenger started.
Original TinyLlama 0003. Challenger LLM 0040. Games Played 0045. Original started.
Original TinyLlama 0003. Challenger LLM 0041. Games Played 0046. Challenger started.
Original TinyLlama 0003. Challenger LLM 0042. Games Played 0047. Original started.
Original TinyLlama 0003. Challenger LLM 0043. Games Played 0048. Challenger started.
Original TinyLlama 0003. Challenger LLM 0044. Games Played 0049. Original started.
Original TinyLlama 0004. Challenger LLM 0044. Games Played 0050. Challenger started.
Original TinyLlama 0004. Challenger LLM 0045. Games Played 0051. Original started.
Original TinyLlama 0004. Challenger LLM 0046. Games Played 0052. Challenger started.
Original TinyLlama 0004. Challenger LLM 0047. Games Played 0053. Original started.
Original TinyLlama 0004. Challenger LLM 0048. Games Played 0054. Challenger started.
Original TinyLlama 0004. Challenger LLM 0049. Games Played 0055. Original started.
Original TinyLlama 0004. Challenger LLM 0050. Games Played 0056. Challenger started.
Original TinyLlama 0004. Challenger LLM 0051. Games Played 0057. Original started.
Original TinyLlama 0004. Challenger LLM 0052. Games Played 0058. Challenger started.
Original TinyLlama 0004. Challenger LLM 0053. Games Played 0059. Original started.
Original TinyLlama 0004. Challenger LLM 0054. Games Played 0060. Challenger started.
Original TinyLlama 0004. Challenger LLM 0055. Games Played 0061. Original started.
Original TinyLlama 0004. Challenger LLM 0056. Games Played 0062. Challenger started.
Original TinyLlama 0005. Challenger LLM 0056. Games Played 0063. Original started.
Original TinyLlama 0005. Challenger LLM 0057. Games Played 0064. Challenger started.
Original TinyLlama 0005. Challenger LLM 0058. Games Played 0065. Original started.
Original TinyLlama 0005. Challenger LLM 0059. Games Played 0066. Challenger started.
Original TinyLlama 0005. Challenger LLM 0060. Games Played 0067. Original started.
Original TinyLlama 0005. Challenger LLM 0061. Games Played 0068. Challenger started.
Original TinyLlama 0005. Challenger LLM 0062. Games Played 0069. Original started.
Original TinyLlama 0005. Challenger LLM 0063. Games Played 0070. Challenger started.
Original TinyLlama 0005. Challenger LLM 0064. Games Played 0071. Original started.
Original TinyLlama 0005. Challenger LLM 0065. Games Played 0072. Challenger started.
Original TinyLlama 0005. Challenger LLM 0066. Games Played 0073. Original started.
Original TinyLlama 0005. Challenger LLM 0067. Games Played 0074. Challenger started.
Original TinyLlama 0005. Challenger LLM 0068. Games Played 0075. Original started.
Original TinyLlama 0005. Challenger LLM 0069. Games Played 0076. Challenger started.
Original TinyLlama 0005. Challenger LLM 0070. Games Played 0077. Original started.
Original TinyLlama 0005. Challenger LLM 0071. Games Played 0078. Challenger started.
Original TinyLlama 0005. Challenger LLM 0072. Games Played 0079. Original started.
Original TinyLlama 0006. Challenger LLM 0072. Games Played 0080. Challenger started.
Original TinyLlama 0006. Challenger LLM 0073. Games Played 0081. Original started.
Original TinyLlama 0007. Challenger LLM 0073. Games Played 0082. Challenger started.
Original TinyLlama 0007. Challenger LLM 0074. Games Played 0083. Original started.
Original TinyLlama 0007. Challenger LLM 0075. Games Played 0084. Challenger started.
Original TinyLlama 0007. Challenger LLM 0076. Games Played 0085. Original started.
Original TinyLlama 0007. Challenger LLM 0077. Games Played 0086. Challenger started.
Original TinyLlama 0007. Challenger LLM 0078. Games Played 0087. Original started.
Original TinyLlama 0007. Challenger LLM 0079. Games Played 0088. Challenger started.
Original TinyLlama 0007. Challenger LLM 0080. Games Played 0089. Original started.
Original TinyLlama 0007. Challenger LLM 0081. Games Played 0090. Challenger started.
Original TinyLlama 0007. Challenger LLM 0082. Games Played 0091. Original started.
Original TinyLlama 0007. Challenger LLM 0083. Games Played 0092. Challenger started.
Original TinyLlama 0007. Challenger LLM 0084. Games Played 0093. Original started.
Original TinyLlama 0007. Challenger LLM 0085. Games Played 0094. Challenger started.
Original TinyLlama 0007. Challenger LLM 0086. Games Played 0095. Original started.
Original TinyLlama 0007. Challenger LLM 0087. Games Played 0096. Challenger started.
Original TinyLlama 0007. Challenger LLM 0088. Games Played 0097. Original started.
Original TinyLlama 0007. Challenger LLM 0089. Games Played 0098. Challenger started.
Original TinyLlama 0007. Challenger LLM 0090. Games Played 0099. Original started.
Original TinyLlama 0007. Challenger LLM 0091. Games Played 0100. Challenger started.
Original TinyLlama 0007. Challenger LLM 0092. Games Played 0101. Original started.
Original TinyLlama 0007. Challenger LLM 0093. Games Played 0102. Challenger started.
Original TinyLlama 0007. Challenger LLM 0094. Games Played 0103. Original started.
Original TinyLlama 0007. Challenger LLM 0095. Games Played 0104. Challenger started.
Original TinyLlama 0007. Challenger LLM 0096. Games Played 0105. Original started.
Original TinyLlama 0007. Challenger LLM 0096. Games Played 0106. Challenger started.
Original TinyLlama 0007. Challenger LLM 0097. Games Played 0107. Original started.
Original TinyLlama 0007. Challenger LLM 0098. Games Played 0108. Challenger started.
Original TinyLlama 0007. Challenger LLM 0099. Games Played 0109. Original started.
Original TinyLlama 0007. Challenger LLM 0100. Games Played 0110. Challenger started.
Original TinyLlama 0007. Challenger LLM 0101. Games Played 0111. Original started.
Original TinyLlama 0008. Challenger LLM 0101. Games Played 0112. Challenger started.
Original TinyLlama 0008. Challenger LLM 0102. Games Played 0113. Original started.
Original TinyLlama 0008. Challenger LLM 0103. Games Played 0114. Challenger started.
Original TinyLlama 0008. Challenger LLM 0104. Games Played 0115. Original started.
Original TinyLlama 0008. Challenger LLM 0105. Games Played 0116. Challenger started.
Original TinyLlama 0008. Challenger LLM 0106. Games Played 0117. Original started.
Original TinyLlama 0008. Challenger LLM 0107. Games Played 0118. Challenger started.
Original TinyLlama 0008. Challenger LLM 0108. Games Played 0119. Original started.
Original TinyLlama 0008. Challenger LLM 0109. Games Played 0120. Challenger started.
Original TinyLlama 0008. Challenger LLM 0110. Games Played 0121. Original started.
Original TinyLlama 0008. Challenger LLM 0111. Games Played 0122. Challenger started.
Original TinyLlama 0008. Challenger LLM 0112. Games Played 0123. Original started.
Original TinyLlama 0008. Challenger LLM 0113. Games Played 0124. Challenger started.
Original TinyLlama 0008. Challenger LLM 0114. Games Played 0125. Original started.
Original TinyLlama 0008. Challenger LLM 0115. Games Played 0126. Challenger started.
Original TinyLlama 0008. Challenger LLM 0116. Games Played 0127. Original started.
Original TinyLlama 0008. Challenger LLM 0117. Games Played 0128. Challenger started.
Original TinyLlama 0008. Challenger LLM 0118. Games Played 0129. Original started.
Original TinyLlama 0008. Challenger LLM 0119. Games Played 0130. Challenger started.
Original TinyLlama 0008. Challenger LLM 0120. Games Played 0131. Original started.
Original TinyLlama 0008. Challenger LLM 0121. Games Played 0132. Challenger started.
Original TinyLlama 0008. Challenger LLM 0122. Games Played 0133. Original started.
Original TinyLlama 0008. Challenger LLM 0123. Games Played 0134. Challenger started.
Original TinyLlama 0008. Challenger LLM 0124. Games Played 0135. Original started.
Original TinyLlama 0008. Challenger LLM 0125. Games Played 0136. Challenger started.
Original TinyLlama 0008. Challenger LLM 0126. Games Played 0137. Original started.
Original TinyLlama 0008. Challenger LLM 0127. Games Played 0138. Challenger started.
Original TinyLlama 0008. Challenger LLM 0128. Games Played 0139. Original started.
Original TinyLlama 0009. Challenger LLM 0128. Games Played 0140. Challenger started.
Original TinyLlama 0009. Challenger LLM 0129. Games Played 0141. Original started.
Original TinyLlama 0009. Challenger LLM 0130. Games Played 0142. Challenger started.
Original TinyLlama 0010. Challenger LLM 0130. Games Played 0143. Original started.
Original TinyLlama 0010. Challenger LLM 0131. Games Played 0144. Challenger started.
Original TinyLlama 0010. Challenger LLM 0132. Games Played 0145. Original started.
Original TinyLlama 0010. Challenger LLM 0133. Games Played 0146. Challenger started.
Original TinyLlama 0010. Challenger LLM 0134. Games Played 0147. Original started.
Original TinyLlama 0011. Challenger LLM 0134. Games Played 0148. Challenger started.
Original TinyLlama 0012. Challenger LLM 0134. Games Played 0149. Original started.
Original TinyLlama 0013. Challenger LLM 0134. Games Played 0150. Challenger started.
Original TinyLlama 0013. Challenger LLM 0135. Games Played 0151. Original started.
Original TinyLlama 0014. Challenger LLM 0135. Games Played 0152. Challenger started.
Original TinyLlama 0014. Challenger LLM 0136. Games Played 0153. Original started.
Original TinyLlama 0015. Challenger LLM 0136. Games Played 0154. Challenger started.
Original TinyLlama 0015. Challenger LLM 0137. Games Played 0155. Original started.
Original TinyLlama 0015. Challenger LLM 0138. Games Played 0156. Challenger started.
Original TinyLlama 0015. Challenger LLM 0139. Games Played 0157. Original started.
Original TinyLlama 0015. Challenger LLM 0140. Games Played 0158. Challenger started.
Original TinyLlama 0015. Challenger LLM 0141. Games Played 0159. Original started.
Original TinyLlama 0015. Challenger LLM 0142. Games Played 0160. Challenger started.
Original TinyLlama 0015. Challenger LLM 0143. Games Played 0161. Original started.
Original TinyLlama 0015. Challenger LLM 0144. Games Played 0162. Challenger started.
Original TinyLlama 0015. Challenger LLM 0145. Games Played 0163. Original started.
Original TinyLlama 0015. Challenger LLM 0146. Games Played 0164. Challenger started.
Original TinyLlama 0015. Challenger LLM 0147. Games Played 0165. Original started.
Original TinyLlama 0015. Challenger LLM 0148. Games Played 0166. Challenger started.
Original TinyLlama 0015. Challenger LLM 0149. Games Played 0167. Original started.
Original TinyLlama 0015. Challenger LLM 0150. Games Played 0168. Challenger started.
Original TinyLlama 0015. Challenger LLM 0151. Games Played 0169. Original started.
Original TinyLlama 0015. Challenger LLM 0152. Games Played 0170. Challenger started.
Original TinyLlama 0015. Challenger LLM 0153. Games Played 0171. Original started.
Original TinyLlama 0015. Challenger LLM 0154. Games Played 0172. Challenger started.
Original TinyLlama 0015. Challenger LLM 0155. Games Played 0173. Original started.
Original TinyLlama 0015. Challenger LLM 0156. Games Played 0174. Challenger started.
Original TinyLlama 0015. Challenger LLM 0157. Games Played 0175. Original started.
Original TinyLlama 0015. Challenger LLM 0158. Games Played 0176. Challenger started.
Original TinyLlama 0015. Challenger LLM 0159. Games Played 0177. Original started.
Original TinyLlama 0015. Challenger LLM 0160. Games Played 0178. Challenger started.
Original TinyLlama 0015. Challenger LLM 0161. Games Played 0179. Original started.
Original TinyLlama 0015. Challenger LLM 0162. Games Played 0180. Challenger started.
Original TinyLlama 0015. Challenger LLM 0163. Games Played 0181. Original started.
Original TinyLlama 0015. Challenger LLM 0164. Games Played 0182. Challenger started.
Original TinyLlama 0016. Challenger LLM 0164. Games Played 0183. Original started.
Original TinyLlama 0016. Challenger LLM 0165. Games Played 0184. Challenger started.
Original TinyLlama 0016. Challenger LLM 0166. Games Played 0185. Original started.
Original TinyLlama 0016. Challenger LLM 0167. Games Played 0186. Challenger started.
Original TinyLlama 0016. Challenger LLM 0168. Games Played 0187. Original started.
Original TinyLlama 0016. Challenger LLM 0169. Games Played 0188. Challenger started.
Original TinyLlama 0016. Challenger LLM 0170. Games Played 0189. Original started.
Original TinyLlama 0016. Challenger LLM 0171. Games Played 0190. Challenger started.
Original TinyLlama 0016. Challenger LLM 0172. Games Played 0191. Original started.
Original TinyLlama 0016. Challenger LLM 0173. Games Played 0192. Challenger started.
Original TinyLlama 0016. Challenger LLM 0174. Games Played 0193. Original started.
Original TinyLlama 0016. Challenger LLM 0175. Games Played 0194. Challenger started.
Original TinyLlama 0016. Challenger LLM 0176. Games Played 0195. Original started.
Original TinyLlama 0017. Challenger LLM 0176. Games Played 0196. Challenger started.
Original TinyLlama 0018. Challenger LLM 0176. Games Played 0197. Original started.
Original TinyLlama 0018. Challenger LLM 0177. Games Played 0198. Challenger started.
Original TinyLlama 0018. Challenger LLM 0178. Games Played 0199. Original started.
Original TinyLlama 0018. Challenger LLM 0179. Games Played 0200. Challenger started.
Original TinyLlama 0018. Challenger LLM 0180. Games Played 0201. Original started.
Original TinyLlama 0018. Challenger LLM 0181. Games Played 0202. Challenger started.
Original TinyLlama 0018. Challenger LLM 0182. Games Played 0203. Original started.
Original TinyLlama 0018. Challenger LLM 0183. Games Played 0204. Challenger started.
Original TinyLlama 0018. Challenger LLM 0184. Games Played 0205. Original started.
Original TinyLlama 0018. Challenger LLM 0185. Games Played 0206. Challenger started.
Original TinyLlama 0018. Challenger LLM 0186. Games Played 0207. Original started.
Original TinyLlama 0018. Challenger LLM 0187. Games Played 0208. Challenger started.
Original TinyLlama 0018. Challenger LLM 0188. Games Played 0209. Original started.
Original TinyLlama 0018. Challenger LLM 0189. Games Played 0210. Challenger started.
Original TinyLlama 0018. Challenger LLM 0190. Games Played 0211. Original started.
Original TinyLlama 0018. Challenger LLM 0191. Games Played 0212. Challenger started.
Original TinyLlama 0018. Challenger LLM 0192. Games Played 0213. Original started.
Original TinyLlama 0018. Challenger LLM 0193. Games Played 0214. Challenger started.
Original TinyLlama 0018. Challenger LLM 0194. Games Played 0215. Original started.
Original TinyLlama 0018. Challenger LLM 0195. Games Played 0216. Challenger started.
Original TinyLlama 0019. Challenger LLM 0195. Games Played 0217. Original started.
Original TinyLlama 0019. Challenger LLM 0196. Games Played 0218. Challenger started.
Original TinyLlama 0019. Challenger LLM 0197. Games Played 0219. Original started.
Original TinyLlama 0019. Challenger LLM 0198. Games Played 0220. Challenger started.
Original TinyLlama 0019. Challenger LLM 0199. Games Played 0221. Original started.
Original TinyLlama 0019. Challenger LLM 0200. Games Played 0222. Challenger started.
Original TinyLlama 0019. Challenger LLM 0201. Games Played 0223. Original started.
Original TinyLlama 0019. Challenger LLM 0202. Games Played 0224. Challenger started.
Original TinyLlama 0019. Challenger LLM 0203. Games Played 0225. Original started.
Original TinyLlama 0019. Challenger LLM 0204. Games Played 0226. Challenger started.
Original TinyLlama 0019. Challenger LLM 0204. Games Played 0227. Original started.
Original TinyLlama 0019. Challenger LLM 0205. Games Played 0228. Challenger started.
Original TinyLlama 0019. Challenger LLM 0206. Games Played 0229. Original started.
Original TinyLlama 0019. Challenger LLM 0207. Games Played 0230. Challenger started.
Original TinyLlama 0020. Challenger LLM 0207. Games Played 0231. Original started.
Original TinyLlama 0020. Challenger LLM 0208. Games Played 0232. Challenger started.
Original TinyLlama 0020. Challenger LLM 0209. Games Played 0233. Original started.
Original TinyLlama 0020. Challenger LLM 0210. Games Played 0234. Challenger started.
Original TinyLlama 0020. Challenger LLM 0211. Games Played 0235. Original started.
Original TinyLlama 0020. Challenger LLM 0212. Games Played 0236. Challenger started.
Original TinyLlama 0020. Challenger LLM 0213. Games Played 0237. Original started.
Original TinyLlama 0020. Challenger LLM 0214. Games Played 0238. Challenger started.
Original TinyLlama 0020. Challenger LLM 0215. Games Played 0239. Original started.
Original TinyLlama 0020. Challenger LLM 0216. Games Played 0240. Challenger started.
Original TinyLlama 0020. Challenger LLM 0217. Games Played 0241. Original started.
Original TinyLlama 0020. Challenger LLM 0218. Games Played 0242. Challenger started.
Original TinyLlama 0020. Challenger LLM 0219. Games Played 0243. Original started.
Original TinyLlama 0020. Challenger LLM 0220. Games Played 0244. Challenger started.
Original TinyLlama 0020. Challenger LLM 0221. Games Played 0245. Original started.
Original TinyLlama 0021. Challenger LLM 0221. Games Played 0246. Challenger started.
Original TinyLlama 0021. Challenger LLM 0222. Games Played 0247. Original started.
Original TinyLlama 0021. Challenger LLM 0223. Games Played 0248. Challenger started.
Original TinyLlama 0021. Challenger LLM 0224. Games Played 0249. Original started.
Original TinyLlama 0021. Challenger LLM 0225. Games Played 0250. Challenger started.
Original TinyLlama 0021. Challenger LLM 0226. Games Played 0251. Original started.
Original TinyLlama 0021. Challenger LLM 0227. Games Played 0252. Challenger started.
Original TinyLlama 0021. Challenger LLM 0228. Games Played 0253. Original started.
Original TinyLlama 0021. Challenger LLM 0229. Games Played 0254. Challenger started.
Original TinyLlama 0021. Challenger LLM 0230. Games Played 0255. Original started.
Original TinyLlama 0021. Challenger LLM 0231. Games Played 0256. Challenger started.
Original TinyLlama 0021. Challenger LLM 0232. Games Played 0257. Original started.
Original TinyLlama 0022. Challenger LLM 0232. Games Played 0258. Challenger started.
Original TinyLlama 0022. Challenger LLM 0233. Games Played 0259. Original started.
Original TinyLlama 0022. Challenger LLM 0234. Games Played 0260. Challenger started.
Original TinyLlama 0022. Challenger LLM 0235. Games Played 0261. Original started.
Original TinyLlama 0022. Challenger LLM 0236. Games Played 0262. Challenger started.
Original TinyLlama 0022. Challenger LLM 0237. Games Played 0263. Original started.
Original TinyLlama 0022. Challenger LLM 0237. Games Played 0264. Challenger started.
Original TinyLlama 0023. Challenger LLM 0237. Games Played 0265. Original started.
Original TinyLlama 0024. Challenger LLM 0237. Games Played 0266. Challenger started.
Original TinyLlama 0024. Challenger LLM 0238. Games Played 0267. Original started.
Original TinyLlama 0024. Challenger LLM 0239. Games Played 0268. Challenger started.
Original TinyLlama 0024. Challenger LLM 0240. Games Played 0269. Original started.
Original TinyLlama 0025. Challenger LLM 0240. Games Played 0270. Challenger started.
Original TinyLlama 0025. Challenger LLM 0241. Games Played 0271. Original started.
Original TinyLlama 0025. Challenger LLM 0242. Games Played 0272. Challenger started.
Original TinyLlama 0026. Challenger LLM 0242. Games Played 0273. Original started.
Original TinyLlama 0026. Challenger LLM 0243. Games Played 0274. Challenger started.
Original TinyLlama 0027. Challenger LLM 0243. Games Played 0275. Original started.
Original TinyLlama 0027. Challenger LLM 0244. Games Played 0276. Challenger started.
Original TinyLlama 0027. Challenger LLM 0245. Games Played 0277. Original started.
Original TinyLlama 0027. Challenger LLM 0246. Games Played 0278. Challenger started.
Original TinyLlama 0027. Challenger LLM 0247. Games Played 0279. Original started.
Original TinyLlama 0027. Challenger LLM 0248. Games Played 0280. Challenger started.
Original TinyLlama 0027. Challenger LLM 0249. Games Played 0281. Original started.
Original TinyLlama 0027. Challenger LLM 0250. Games Played 0282. Challenger started.
Original TinyLlama 0027. Challenger LLM 0251. Games Played 0283. Original started.
Original TinyLlama 0027. Challenger LLM 0252. Games Played 0284. Challenger started.
Original TinyLlama 0027. Challenger LLM 0253. Games Played 0285. Original started.
Original TinyLlama 0027. Challenger LLM 0254. Games Played 0286. Challenger started.
Original TinyLlama 0028. Challenger LLM 0254. Games Played 0287. Original started.
Original TinyLlama 0028. Challenger LLM 0255. Games Played 0288. Challenger started.
Original TinyLlama 0028. Challenger LLM 0256. Games Played 0289. Original started.
Original TinyLlama 0028. Challenger LLM 0257. Games Played 0290. Challenger started.
Original TinyLlama 0028. Challenger LLM 0258. Games Played 0291. Original started.
Original TinyLlama 0028. Challenger LLM 0259. Games Played 0292. Challenger started.
Original TinyLlama 0028. Challenger LLM 0260. Games Played 0293. Original started.
Original TinyLlama 0028. Challenger LLM 0261. Games Played 0294. Challenger started.
Original TinyLlama 0028. Challenger LLM 0262. Games Played 0295. Original started.
Original TinyLlama 0029. Challenger LLM 0262. Games Played 0296. Challenger started.
Original TinyLlama 0029. Challenger LLM 0263. Games Played 0297. Original started.
Original TinyLlama 0029. Challenger LLM 0264. Games Played 0298. Challenger started.
Original TinyLlama 0029. Challenger LLM 0265. Games Played 0299. Original started.
Original TinyLlama 0029. Challenger LLM 0266. Games Played 0300. Challenger started.
Original TinyLlama 0029. Challenger LLM 0267. Games Played 0301. Original started.
Original TinyLlama 0029. Challenger LLM 0268. Games Played 0302. Challenger started.
Original TinyLlama 0029. Challenger LLM 0269. Games Played 0303. Original started.
Original TinyLlama 0029. Challenger LLM 0270. Games Played 0304. Challenger started.
Original TinyLlama 0030. Challenger LLM 0270. Games Played 0305. Original started.
Original TinyLlama 0030. Challenger LLM 0271. Games Played 0306. Challenger started.
Original TinyLlama 0030. Challenger LLM 0272. Games Played 0307. Original started.
Original TinyLlama 0030. Challenger LLM 0273. Games Played 0308. Challenger started.
Original TinyLlama 0030. Challenger LLM 0274. Games Played 0309. Original started.
Original TinyLlama 0030. Challenger LLM 0275. Games Played 0310. Challenger started.
Original TinyLlama 0030. Challenger LLM 0276. Games Played 0311. Original started.
Original TinyLlama 0030. Challenger LLM 0277. Games Played 0312. Challenger started.
Original TinyLlama 0030. Challenger LLM 0278. Games Played 0313. Original started.
Original TinyLlama 0030. Challenger LLM 0279. Games Played 0314. Challenger started.
Original TinyLlama 0030. Challenger LLM 0280. Games Played 0315. Original started.
Original TinyLlama 0030. Challenger LLM 0281. Games Played 0316. Challenger started.
Original TinyLlama 0030. Challenger LLM 0282. Games Played 0317. Original started.
Original TinyLlama 0030. Challenger LLM 0283. Games Played 0318. Challenger started.
Original TinyLlama 0030. Challenger LLM 0284. Games Played 0319. Original started.
Original TinyLlama 0030. Challenger LLM 0285. Games Played 0320. Challenger started.
Original TinyLlama 0031. Challenger LLM 0285. Games Played 0321. Original started.
Original TinyLlama 0031. Challenger LLM 0286. Games Played 0322. Challenger started.
Original TinyLlama 0031. Challenger LLM 0287. Games Played 0323. Original started.
Original TinyLlama 0032. Challenger LLM 0287. Games Played 0324. Challenger started.
Original TinyLlama 0032. Challenger LLM 0288. Games Played 0325. Original started.
Original TinyLlama 0032. Challenger LLM 0289. Games Played 0326. Challenger started.
Original TinyLlama 0032. Challenger LLM 0290. Games Played 0327. Original started.
Original TinyLlama 0032. Challenger LLM 0291. Games Played 0328. Challenger started.
Original TinyLlama 0032. Challenger LLM 0292. Games Played 0329. Original started.
Original TinyLlama 0032. Challenger LLM 0293. Games Played 0330. Challenger started.
Original TinyLlama 0032. Challenger LLM 0294. Games Played 0331. Original started.
Original TinyLlama 0032. Challenger LLM 0295. Games Played 0332. Challenger started.
Original TinyLlama 0032. Challenger LLM 0296. Games Played 0333. Original started.
Original TinyLlama 0032. Challenger LLM 0297. Games Played 0334. Challenger started.
Original TinyLlama 0032. Challenger LLM 0298. Games Played 0335. Original started.
Original TinyLlama 0032. Challenger LLM 0299. Games Played 0336. Challenger started.
Original TinyLlama 0032. Challenger LLM 0300. Games Played 0337. Original started.
Original TinyLlama 0032. Challenger LLM 0301. Games Played 0338. Challenger started.
Original TinyLlama 0032. Challenger LLM 0302. Games Played 0339. Original started.
Original TinyLlama 0033. Challenger LLM 0302. Games Played 0340. Challenger started.
Original TinyLlama 0033. Challenger LLM 0303. Games Played 0341. Original started.
Original TinyLlama 0033. Challenger LLM 0304. Games Played 0342. Challenger started.
Original TinyLlama 0033. Challenger LLM 0305. Games Played 0343. Original started.
Original TinyLlama 0033. Challenger LLM 0306. Games Played 0344. Challenger started.
Original TinyLlama 0033. Challenger LLM 0307. Games Played 0345. Original started.
Original TinyLlama 0033. Challenger LLM 0308. Games Played 0346. Challenger started.
Original TinyLlama 0033. Challenger LLM 0309. Games Played 0347. Original started.
Original TinyLlama 0033. Challenger LLM 0310. Games Played 0348. Challenger started.
Original TinyLlama 0033. Challenger LLM 0311. Games Played 0349. Original started.
Original TinyLlama 0033. Challenger LLM 0312. Games Played 0350. Challenger started.
Original TinyLlama 0034. Challenger LLM 0312. Games Played 0351. Original started.
Original TinyLlama 0034. Challenger LLM 0313. Games Played 0352. Challenger started.
Original TinyLlama 0034. Challenger LLM 0314. Games Played 0353. Original started.
Original TinyLlama 0034. Challenger LLM 0315. Games Played 0354. Challenger started.
Original TinyLlama 0034. Challenger LLM 0316. Games Played 0355. Original started.
Original TinyLlama 0035. Challenger LLM 0316. Games Played 0356. Challenger started.
Original TinyLlama 0035. Challenger LLM 0317. Games Played 0357. Original started.
Original TinyLlama 0035. Challenger LLM 0318. Games Played 0358. Challenger started.
Original TinyLlama 0035. Challenger LLM 0319. Games Played 0359. Original started.
Original TinyLlama 0035. Challenger LLM 0320. Games Played 0360. Challenger started.
Original TinyLlama 0035. Challenger LLM 0321. Games Played 0361. Original started.
Original TinyLlama 0035. Challenger LLM 0322. Games Played 0362. Challenger started.
Original TinyLlama 0035. Challenger LLM 0323. Games Played 0363. Original started.
Original TinyLlama 0035. Challenger LLM 0324. Games Played 0364. Challenger started.
Original TinyLlama 0035. Challenger LLM 0325. Games Played 0365. Original started.
Original TinyLlama 0035. Challenger LLM 0326. Games Played 0366. Challenger started.
Original TinyLlama 0035. Challenger LLM 0327. Games Played 0367. Original started.
Original TinyLlama 0035. Challenger LLM 0328. Games Played 0368. Challenger started.
Original TinyLlama 0035. Challenger LLM 0329. Games Played 0369. Original started.
Original TinyLlama 0035. Challenger LLM 0330. Games Played 0370. Challenger started.
Original TinyLlama 0035. Challenger LLM 0331. Games Played 0371. Original started.
Original TinyLlama 0035. Challenger LLM 0332. Games Played 0372. Challenger started.
Original TinyLlama 0035. Challenger LLM 0333. Games Played 0373. Original started.
